UserID,WindowID,State,DegreeType,Major,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
33735,1,2,4,487,2,6,0,0,0
33957,1,4,3,491,3,13,0,0,0
33988,1,9,0,2,3,9,2,0,0
34240,1,4,1,495,2,5,2,0,0
34681,1,7,2,294,2,1,2,0,0
34815,1,4,1,0,3,7,0,0,0
35230,1,22,0,2,4,8,0,0,0
35886,1,2,2,5,7,15,2,0,0
36199,1,9,3,0,2,29,0,1,25
36668,1,11,0,2,4,12,0,1,15
37420,1,11,2,534,2,4,0,1,6
37999,1,17,1,541,4,8,2,0,0
38371,1,19,0,2,3,6,0,0,0
38962,1,2,1,563,5,9,1,0,0
39014,1,0,3,21,3,13,0,0,0
39346,1,4,0,354,4,8,2,0,0
39385,1,17,2,567,10,7,0,0,0
39703,1,4,2,51,6,25,0,0,0
40416,1,12,3,21,3,12,2,0,0
41358,1,4,4,594,0,,0,1,12
41464,1,4,2,21,6,13,0,0,0
41868,1,7,3,602,6,5,0,0,0
42671,1,4,2,609,7,10,0,0,0
43116,1,1,0,614,3,9,2,1,7
43503,1,15,1,0,6,5,0,0,0
43604,1,0,2,622,2,10,2,0,0
43619,1,14,1,128,3,10,2,0,0
44123,1,18,2,21,3,3,0,0,0
44183,1,19,2,630,4,4,0,0,0
45321,1,4,2,370,4,5,0,0,0
45410,1,19,3,641,6,16,2,0,0
47481,1,17,0,0,4,7,2,0,0
47848,1,0,4,493,4,7,1,0,0
49264,1,14,3,0,2,12,2,0,0
49427,1,12,1,0,10,10,2,0,0
49550,1,2,0,0,2,4,2,1,20
49586,1,4,3,675,4,3,2,0,0
50766,1,14,0,2,7,3,0,0,0
50853,1,17,3,0,4,12,0,0,0
50859,1,16,2,63,6,4,1,0,0
51533,1,13,0,2,3,3,2,0,0
51617,1,33,0,0,3,6,2,0,0
51757,1,17,0,2,5,11,0,0,0
51782,1,9,1,694,10,16,0,1,180
52599,1,12,2,21,4,3,0,0,0
53000,1,17,3,492,6,7,2,0,0
53191,1,19,0,2,4,14,0,0,0
53193,1,7,2,184,3,7,0,0,0
53987,1,7,1,0,4,11,1,0,0
54408,1,34,6,115,5,5,0,0,0
55107,1,3,0,2,4,6,2,0,0
55325,1,28,0,2,4,7,2,1,7
55647,1,12,2,392,3,5,0,0,0
56060,1,38,4,729,3,2,2,0,0
56657,1,50,2,0,0,,2,0,0
57033,1,28,1,0,3,11,0,0,0
57255,1,34,3,43,5,15,0,0,0
57258,1,10,2,8,3,9,0,0,0
57273,1,4,2,0,6,12,0,1,60
57381,1,14,0,2,2,7,1,0,0
57413,1,16,3,0,3,15,0,0,0
57536,1,4,2,747,4,17,2,0,0
58454,1,31,0,0,3,8,2,1,5
60339,1,4,4,775,8,13,1,0,0
60676,1,0,0,0,3,5,2,0,0
61035,1,15,0,19,7,9,1,0,0
61363,1,2,2,63,4,7,0,0,0
61872,1,10,1,760,3,5,2,0,0
61873,1,17,0,0,3,14,0,0,0
61960,1,28,3,794,5,8,0,1,15
62091,1,17,0,798,3,4,0,0,0
62605,1,19,2,277,3,8,1,0,0
63986,1,9,2,256,6,22,0,0,0
64436,1,10,4,62,4,25,1,0,0
64451,1,39,4,825,5,6,1,0,0
64536,1,38,0,2,3,20,1,0,0
64615,1,51,0,2,3,10,2,0,0
65095,1,13,0,2,0,,2,1,15
65099,1,1,3,831,5,4,1,0,0
65714,1,9,2,835,3,5,2,0,0
67382,1,4,2,76,5,17,0,0,0
67540,1,0,0,2,5,8,0,0,0
67874,1,3,2,856,7,22,1,0,0
68056,1,1,4,413,4,7,0,0,0
68242,1,4,3,0,10,7,0,1,5
69133,1,4,2,199,6,9,0,1,200
69151,1,13,2,88,2,1,2,0,0
69368,1,2,2,21,4,10,0,0,0
69988,1,8,4,881,1,1,1,0,0
70372,1,4,3,0,4,8,2,0,0
71128,1,17,3,0,3,5,2,0,0
71716,1,17,4,43,5,9,0,0,0
71855,1,10,0,2,2,3,2,0,0
72028,1,2,1,901,4,16,2,0,0
72077,1,2,0,2,4,8,0,0,0
72579,1,4,2,101,3,7,1,0,0
73624,1,32,3,0,1,6,0,0,0
73964,1,17,0,2,4,5,1,0,0
74028,1,4,0,2,4,5,0,0,0
74083,1,17,2,920,4,5,0,0,0
75241,1,19,0,0,7,9,0,0,0
75483,1,17,4,312,6,34,0,0,0
75821,1,16,0,2,0,,2,0,0
76141,1,55,2,938,6,7,0,0,0
76250,1,8,2,0,9,9,0,0,0
76314,1,4,0,2,7,9,2,1,3
76393,1,18,0,944,7,14,2,0,0
76558,1,17,0,2,4,8,2,0,0
76625,1,13,4,948,6,12,0,0,0
77520,1,34,3,957,8,22,0,0,0
77978,1,11,0,2,2,22,0,0,0
78050,1,0,4,51,3,7,2,0,0
78917,1,11,2,971,2,9,0,0,0
79332,1,0,3,0,0,,1,0,0
79457,1,16,0,2,3,3,2,0,0
79486,1,15,1,541,10,25,1,0,0
79992,1,0,1,44,6,18,0,1,25
80155,1,19,2,983,5,15,2,1,30
80424,1,3,0,2,6,5,0,0,0
81044,1,24,0,2,3,3,2,0,0
81354,1,12,2,998,5,12,1,0,0
81464,1,10,2,677,2,7,0,0,0
81611,1,0,2,51,4,4,2,0,0
81747,1,0,0,133,4,10,0,1,15
81882,1,17,0,1006,2,3,2,0,0
82023,1,5,2,776,5,4,0,0,0
82072,1,9,3,0,0,,2,0,0
82345,1,11,0,0,10,7,0,0,0
82767,1,18,2,11,6,14,0,0,0
83571,1,18,2,1026,4,8,0,0,0
83876,1,12,0,2,6,21,0,0,0
84824,1,24,4,1044,4,8,0,0,0
84907,1,4,3,45,1,1,2,0,0
85639,1,34,5,1053,1,5,2,1,25
85961,1,28,3,0,3,5,2,0,0
86693,1,18,2,1069,2,6,1,0,0
87561,1,8,3,0,9,19,0,0,0
88491,1,17,3,59,0,,2,0,0
88579,1,17,3,1084,4,32,0,0,0
89309,1,22,0,2,8,12,0,1,32
89335,1,12,0,970,3,6,0,0,0
90591,1,15,0,2,3,4,0,0,0
91224,1,4,0,2,2,3,2,0,0
92706,1,0,4,21,4,7,1,0,0
92912,1,29,2,1125,3,5,0,0,0
94156,1,12,3,15,7,14,2,0,0
94652,1,18,2,1142,5,14,0,0,0
94832,1,12,2,8,5,2,0,0,0
95050,1,28,3,0,5,12,0,0,0
96039,1,11,2,1151,10,31,2,0,0
96345,1,9,3,0,4,6,0,0,0
97661,1,1,1,132,2,8,0,0,0
98298,1,22,0,0,3,2,2,0,0
98394,1,9,3,0,4,10,2,0,0
98589,1,15,4,10,3,4,0,0,0
98819,1,9,0,2,4,5,2,0,0
98874,1,9,3,0,1,1,2,0,0
99263,1,9,0,2,1,0,0,0,0
99537,1,39,0,84,0,,2,0,0
99851,1,9,3,1183,2,5,0,0,0
101029,1,2,4,217,7,10,2,0,0
101143,1,28,0,2,10,5,2,0,0
101953,1,9,3,0,0,,1,0,0
102197,1,9,5,556,3,2,1,0,0
102315,1,51,0,2,4,3,2,0,0
102668,1,0,2,1208,10,3,0,0,0
102753,1,17,3,1210,3,8,0,1,20
103209,1,8,3,44,4,5,0,0,0
103459,1,4,0,2,3,4,2,0,0
104975,1,9,0,2,3,4,2,0,0
105247,1,9,4,51,1,3,2,1,20
105251,1,41,3,1230,5,15,0,0,0
105387,1,9,0,2,7,7,2,0,0
105452,1,0,2,1058,5,6,0,0,0
105633,1,19,2,10,2,12,0,0,0
106030,1,4,3,0,4,5,2,0,0
106055,1,0,0,1234,2,2,0,1,6
106114,1,0,2,1235,10,8,0,0,0
106229,1,9,3,72,5,9,2,0,0
106357,1,0,4,0,2,9,0,0,0
106958,1,19,3,0,4,7,1,0,0
107359,1,9,0,2,3,4,0,0,0
107841,1,12,0,2,4,8,0,1,5
108660,1,5,0,2,3,7,0,0,0
108786,1,2,1,0,5,5,0,0,0
109049,1,17,2,10,6,5,2,0,0
109167,1,46,2,1262,6,4,0,0,0
109209,1,8,0,0,3,2,2,0,0
110059,1,18,2,21,3,7,2,0,0
110599,1,9,5,1274,4,7,0,1,5
111579,1,7,1,888,7,25,0,1,5
112666,1,9,2,145,5,19,2,0,0
112681,1,17,2,0,4,17,2,0,0
112976,1,0,2,67,7,6,2,0,0
113005,1,17,3,0,7,32,0,0,0
113547,1,4,2,214,10,16,0,0,0
113565,1,19,3,0,5,8,0,0,0
113888,1,11,2,51,0,,2,1,50
114092,1,17,0,0,3,8,2,0,0
114116,1,4,2,21,5,10,0,0,0
114432,1,0,3,1328,5,16,0,0,0
114667,1,19,1,1330,2,10,0,0,0
114796,1,19,2,51,2,14,0,0,0
114856,1,2,2,1334,10,15,2,1,5
115033,1,12,3,1324,6,8,2,0,0
115079,1,9,2,63,6,19,2,0,0
115295,1,0,1,44,7,16,0,0,0
115334,1,29,2,87,11,11,1,0,0
115418,1,17,4,476,3,6,0,0,0
115582,1,15,1,44,5,9,0,1,90
115785,1,17,3,0,8,24,2,0,0
115905,1,16,2,51,10,18,2,1,13
116083,1,0,2,1353,10,40,0,1,250
116469,1,17,3,0,0,,1,0,0
116544,1,9,3,0,0,,2,1,110
117429,1,9,3,0,0,,0,0,0
117548,1,17,2,1376,5,6,2,0,0
117596,1,1,6,115,3,9,2,0,0
117915,1,1,4,1383,5,3,2,0,0
118253,1,15,1,71,5,17,0,0,0
119410,1,17,2,1402,4,14,0,0,0
119546,1,2,1,88,5,15,0,0,0
120199,1,11,3,0,4,12,0,0,0
120351,1,0,2,1411,0,,2,1,10
120647,1,26,3,1415,6,12,2,1,8
120989,1,0,3,0,0,,2,1,10
121050,1,1,0,1422,5,13,0,1,30
121055,1,16,6,156,3,12,0,0,0
121234,1,17,4,590,9,13,0,0,0
121262,1,0,1,1428,4,8,0,1,40
121318,1,46,1,1429,3,7,0,0,0
121946,1,14,2,5,6,13,2,0,0
122074,1,9,1,0,10,13,0,0,0
122681,1,9,2,11,9,24,0,0,0
122799,1,0,2,10,10,17,0,0,0
123084,1,18,1,1450,5,10,1,0,0
123242,1,19,2,11,5,38,1,0,0
123387,1,0,4,11,4,6,1,0,0
125073,1,39,4,0,4,31,0,1,20
126543,1,1,3,0,6,37,0,1,75
126581,1,2,2,662,6,15,2,0,0
127056,1,18,3,21,0,,2,0,0
127477,1,18,3,21,8,14,0,1,22
128045,1,4,3,1539,5,13,2,0,0
129188,1,11,2,1553,5,12,0,0,0
129223,1,4,4,51,5,8,0,0,0
129243,1,4,3,114,10,31,0,0,0
129816,1,9,0,1559,4,22,2,1,120
129975,1,19,3,0,1,6,0,0,0
130017,1,14,1,370,5,12,2,1,100
130650,1,1,2,21,6,9,2,0,0
131299,1,13,1,148,6,6,0,0,0
131396,1,0,0,2,3,6,0,1,8
131444,1,4,0,2,4,13,2,0,0
131661,1,18,1,247,7,10,0,0,0
131662,1,19,0,1577,8,11,2,0,0
132420,1,15,4,0,9,11,2,0,0
132630,1,17,2,1585,10,10,1,0,0
133256,1,9,4,15,4,9,2,0,0
133684,1,33,2,1606,5,12,0,0,0
134369,1,0,2,266,9,16,0,0,0
134579,1,12,3,816,4,13,2,0,0
136324,1,0,3,294,4,6,0,0,0
136630,1,17,2,21,5,13,0,0,0
136742,1,0,3,1652,6,16,0,0,0
137282,1,15,3,0,6,16,0,0,0
137583,1,11,2,0,4,22,2,1,8
137629,1,4,3,1664,5,10,2,0,0
137635,1,12,4,21,2,5,1,0,0
137777,1,8,4,775,8,13,0,0,0
138284,1,12,4,389,4,8,0,1,40
139083,1,17,4,10,3,4,2,1,25
139123,1,9,0,2,4,16,2,0,0
139669,1,17,0,2,9,29,2,1,500
139984,1,17,2,5,3,2,2,1,8
140158,1,9,4,21,5,12,0,1,15
140302,1,14,3,312,5,7,2,0,0
140635,1,18,2,45,5,7,0,0,0
140878,1,15,4,256,7,12,0,0,0
140879,1,4,0,0,5,6,2,1,5
141170,1,16,0,19,9,22,2,1,100
141836,1,9,3,0,4,5,1,0,0
142215,1,18,2,11,5,8,0,0,0
142608,1,11,2,134,0,,0,1,100
142825,1,17,0,19,7,5,0,1,10
143257,1,14,1,365,3,13,0,0,0
143307,1,17,2,0,10,13,0,0,0
143765,1,10,4,0,4,15,0,0,0
143834,1,51,2,114,4,8,0,0,0
143852,1,4,4,1279,2,4,2,0,0
144084,1,1,4,51,8,19,0,0,0
144289,1,15,3,0,5,12,0,1,4
144730,1,9,0,1738,10,16,2,1,15
144881,1,11,3,0,0,,2,0,0
144949,1,0,3,0,7,17,1,0,0
145318,1,24,3,0,7,12,0,0,0
145517,1,18,2,5,4,16,0,0,0
145954,1,18,1,1749,2,9,1,0,0
146406,1,39,3,0,5,8,2,0,0
147036,1,15,3,0,0,,2,1,20
147119,1,0,4,44,1,0,2,1,15
147301,1,11,0,590,7,21,0,1,5
147653,1,10,0,2,5,16,0,0,0
147682,1,12,1,668,4,10,0,0,0
147915,1,22,1,68,3,10,2,0,0
147918,1,18,2,5,7,11,1,0,0
148166,1,13,2,21,9,13,2,0,0
148377,1,2,2,71,10,9,2,0,0
148542,1,5,0,1775,1,3,0,1,30
148652,1,27,2,11,9,17,0,1,15
148894,1,9,0,2,4,10,0,0,0
149161,1,39,2,15,3,8,0,0,0
149467,1,28,3,0,0,,1,0,0
149713,1,17,3,0,5,9,2,0,0
149988,1,9,1,108,7,8,0,0,0
150720,1,9,3,1808,6,12,0,1,4
152071,1,19,4,1822,7,16,2,1,25
152189,1,9,4,15,3,10,1,0,0
152367,1,4,2,1827,5,14,1,0,0
152473,1,20,1,1831,10,11,2,0,0
152503,1,28,0,2,9,14,0,0,0
153011,1,2,3,0,0,,1,0,0
153742,1,0,2,1848,4,27,2,1,850
154243,1,10,3,0,0,,2,1,60
154624,1,8,3,0,0,,2,1,10
154913,1,16,1,8,5,9,2,0,0
155609,1,19,3,0,6,9,0,1,8
155626,1,9,1,45,8,23,2,0,0
155694,1,38,2,213,3,6,0,0,0
155752,1,12,2,11,3,3,2,0,0
155984,1,22,6,1876,4,13,0,1,101
157222,1,12,3,1890,8,17,2,0,0
157385,1,12,4,1893,6,17,0,0,0
157488,1,29,0,2,4,6,1,0,0
157612,1,9,3,0,9,21,0,0,0
157835,1,13,5,457,1,1,2,1,5
157875,1,22,2,47,5,6,1,0,0
158000,1,15,4,1901,3,8,0,0,0
158027,1,13,4,1902,8,11,2,0,0
158033,1,10,1,21,2,6,0,1,6
158039,1,9,0,0,7,19,0,0,0
158317,1,15,1,63,5,13,2,0,0
158322,1,9,4,442,3,3,2,0,0
158521,1,17,0,2,3,10,2,0,0
158773,1,18,1,1908,4,7,2,0,0
158932,1,4,2,68,6,18,0,0,0
159491,1,4,0,2,3,6,2,0,0
159710,1,39,0,1170,8,14,2,1,55
159923,1,17,4,1921,6,16,2,0,0
160390,1,24,3,0,7,14,0,0,0
160767,1,4,0,2,3,12,0,1,20
161055,1,12,4,21,5,27,2,1,175
161626,1,9,2,63,4,11,2,1,5
162209,1,11,2,124,12,14,2,1,6
162872,1,9,2,1971,0,,2,1,25
163011,1,15,0,2,7,12,2,0,0
163243,1,12,4,43,6,13,2,0,0
163603,1,16,2,1975,5,10,0,1,4
163658,1,0,4,419,5,12,0,0,0
164195,1,33,4,770,5,14,2,0,0
164525,1,9,3,0,5,21,0,0,0
164783,1,5,3,0,3,10,2,0,0
165412,1,9,4,68,6,14,2,1,4
165418,1,17,1,0,10,14,1,0,0
166075,1,31,2,589,2,13,0,1,26
166161,1,4,5,1083,8,10,0,0,0
167086,1,11,3,0,5,13,0,0,0
167403,1,0,1,2007,5,17,0,1,10
167478,1,10,2,63,7,11,0,1,10
167520,1,18,2,51,4,8,2,0,0
168134,1,19,3,0,0,,2,0,0
168266,1,9,2,51,4,9,0,0,0
168560,1,9,3,0,4,31,2,1,10
168643,1,1,0,2,3,20,0,0,0
168934,1,34,2,51,3,7,2,0,0
169388,1,9,2,5,4,9,0,1,18
169404,1,9,3,0,0,,2,1,750
169433,1,17,3,0,0,,2,0,0
169438,1,20,1,2032,7,13,0,1,36
169787,1,34,2,51,8,18,2,1,65
169900,1,0,4,0,3,6,2,1,4
170567,1,14,3,0,2,19,2,0,0
170579,1,41,3,124,4,27,0,1,15
171107,1,10,2,21,7,11,0,0,0
171143,1,0,1,2050,5,15,2,1,60
171758,1,18,0,0,4,11,1,0,0
172100,1,22,3,21,8,19,0,0,0
172150,1,1,3,0,8,13,0,0,0
172433,1,13,0,2,3,6,2,0,0
172449,1,29,0,2,3,14,0,0,0
172944,1,28,3,0,0,,1,0,0
173262,1,15,2,1017,7,10,1,0,0
173537,1,9,3,0,0,,0,1,40
173987,1,9,3,0,6,13,1,0,0
174104,1,15,2,69,8,13,1,0,0
174157,1,31,0,133,6,7,2,0,0
174485,1,10,3,0,6,18,2,1,10
174868,1,4,4,68,4,6,2,0,0
175009,1,11,3,0,0,,1,0,0
175260,1,4,2,51,2,8,0,0,0
175329,1,16,3,0,6,9,1,0,0
175425,1,22,2,2098,3,11,0,0,0
175626,1,0,0,2100,5,13,2,1,10
176248,1,38,0,2108,5,5,0,1,10
176358,1,16,4,2111,9,25,2,1,1
176773,1,9,2,114,9,12,2,0,0
176846,1,10,2,2120,0,,2,0,0
177086,1,4,3,2124,5,22,2,0,0
178131,1,17,2,11,6,8,0,1,10
178658,1,2,3,0,6,10,0,0,0
179537,1,4,3,2159,10,14,2,0,0
179732,1,4,1,2163,4,11,2,0,0
180088,1,10,3,0,8,22,0,0,0
180243,1,4,3,0,5,23,1,0,0
180423,1,17,2,981,2,14,2,0,0
180681,1,11,3,0,5,13,0,0,0
180813,1,17,4,11,10,8,0,0,0
180879,1,2,2,44,3,25,0,0,0
181141,1,0,3,0,5,12,1,0,0
181401,1,19,2,21,5,14,0,0,0
181416,1,9,4,0,3,9,2,0,0
181471,1,22,1,0,10,20,0,1,5
182264,1,13,4,2184,1,4,2,0,0
182364,1,39,3,2186,4,13,0,0,0
182549,1,9,1,124,4,21,0,0,0
183007,1,34,2,0,8,33,0,1,12
183303,1,8,3,2201,7,10,0,1,10
183865,1,16,1,1021,7,17,0,1,22
184313,1,38,1,832,5,12,2,0,0
184577,1,13,3,82,5,7,0,0,0
184796,1,1,3,1098,3,16,0,1,60
184821,1,18,1,2202,10,9,0,1,30
184870,1,17,2,88,2,6,0,0,0
185596,1,19,6,2224,4,13,1,0,0
185605,1,11,4,2225,3,5,2,0,0
185710,1,18,2,63,3,7,0,0,0
185849,1,19,3,2228,6,10,0,0,0
186058,1,17,3,0,6,15,0,0,0
186466,1,1,2,2095,5,4,0,0,0
186555,1,10,3,0,0,,0,0,0
186970,1,9,3,923,8,21,0,1,110
187355,1,14,3,0,5,26,2,1,25
187844,1,15,3,2254,6,14,0,0,0
188144,1,2,4,422,4,3,0,1,25
188273,1,4,0,2,5,10,0,1,6
188314,1,4,4,114,10,13,2,0,0
188381,1,10,3,0,0,,0,1,10
188809,1,18,3,2263,4,4,0,1,6
188836,1,4,3,59,8,22,1,0,0
188933,1,10,0,0,10,15,0,1,20
189703,1,18,2,21,5,13,0,0,0
189874,1,4,2,2272,7,11,2,1,38
190093,1,17,0,2,7,20,2,0,0
190130,1,11,3,67,8,18,1,0,0
190347,1,9,2,44,4,12,1,1,12
190513,1,11,0,2,0,,2,0,0
190647,1,9,0,2282,5,8,0,0,0
190852,1,38,0,2,5,14,0,0,0
190978,1,9,0,2,8,11,2,1,40
191355,1,22,3,0,4,17,1,0,0
191406,1,19,2,2292,3,10,0,0,0
191458,1,41,0,0,6,10,0,0,0
191681,1,9,0,2,6,6,2,0,0
191765,1,39,4,51,5,14,2,1,5
192095,1,9,1,88,9,15,2,0,0
192128,1,41,2,88,5,10,2,1,3
192202,1,19,2,11,4,12,1,0,0
192428,1,17,2,520,8,4,2,0,0
192461,1,4,0,2,8,18,2,0,0
192462,1,18,1,11,10,18,1,0,0
192517,1,16,2,430,7,8,0,0,0
192841,1,8,2,2306,3,11,0,1,40
193005,1,17,2,11,4,11,0,1,5
193110,1,9,4,44,4,21,0,0,0
193216,1,18,2,63,3,7,2,0,0
193566,1,0,2,2309,3,4,0,0,0
193637,1,4,2,2310,4,12,0,0,0
193815,1,22,0,2,5,15,0,0,0
193819,1,22,3,0,9,26,0,0,0
193847,1,4,4,638,5,8,0,0,0
193877,1,18,2,88,4,9,0,0,0
194311,1,1,3,0,5,38,0,0,0
194542,1,28,3,168,3,3,2,1,10
194984,1,0,2,1088,1,0,1,1,6
195232,1,17,2,589,5,8,0,0,0
195385,1,17,0,0,2,12,0,1,10
195890,1,26,2,2340,6,9,0,0,0
196228,1,9,3,0,4,7,2,1,4
196327,1,31,3,0,0,,2,0,0
197075,1,9,0,2,1,6,2,0,0
197266,1,13,2,2353,10,23,0,0,0
198154,1,2,2,5,6,8,0,0,0
198695,1,18,3,15,8,18,2,0,0
200108,1,17,3,0,2,9,2,0,0
200331,1,22,2,21,6,16,0,1,50
200390,1,4,3,0,4,14,0,0,0
200409,1,28,0,2,4,14,0,0,0
200550,1,20,1,37,5,13,2,0,0
200642,1,2,2,1355,5,11,1,0,0
200831,1,7,2,68,7,15,1,0,0
201107,1,11,2,2392,5,10,0,0,0
202222,1,17,0,2,6,21,2,1,600
202867,1,4,2,981,5,13,0,1,13
202925,1,2,3,199,8,10,2,0,0
202944,1,12,0,2,8,34,1,0,0
203604,1,4,2,21,5,21,0,1,11
203844,1,17,2,0,3,8,2,0,0
203940,1,19,3,0,3,7,2,0,0
204015,1,16,0,2420,5,13,0,1,3
204132,1,12,0,133,4,33,2,1,6
204180,1,16,3,0,3,14,0,0,0
205192,1,22,0,0,3,6,2,0,0
205370,1,9,0,2,5,19,2,1,11
205393,1,9,0,2,2,4,2,0,0
205589,1,51,0,2,6,10,0,0,0
205707,1,13,0,2,4,10,1,0,0
205845,1,38,2,21,1,1,2,0,0
205859,1,16,2,2444,5,6,2,0,0
205899,1,4,2,21,2,1,2,0,0
206307,1,17,2,21,4,7,1,0,0
206314,1,38,1,746,7,11,0,1,30
206496,1,4,3,756,3,3,2,0,0
206643,1,1,3,0,0,,1,0,0
206662,1,14,4,419,3,8,0,1,3
206669,1,10,3,2460,1,5,0,1,5
206816,1,27,0,0,2,4,2,1,3
207100,1,20,0,2,6,7,2,1,10
207345,1,9,0,329,3,6,0,0,0
207387,1,17,4,2467,6,3,0,0,0
207415,1,39,0,2,4,7,0,0,0
207465,1,19,3,1148,5,15,2,0,0
207537,1,0,2,134,4,16,0,0,0
207570,1,13,0,969,4,5,2,0,0
208620,1,4,0,2,3,9,0,0,0
208776,1,46,0,931,2,2,2,0,0
208939,1,34,4,246,3,6,2,1,10
209568,1,5,2,265,7,3,1,0,0
209798,1,20,0,2,8,33,0,0,0
209974,1,8,0,2,2,10,0,0,0
210094,1,4,2,0,1,0,2,1,12
210386,1,8,3,0,4,2,0,0,0
210400,1,7,2,2496,4,21,2,0,0
210705,1,4,3,0,5,17,0,1,10
210938,1,4,0,331,2,9,1,0,0
211306,1,12,2,2502,4,14,2,0,0
212000,1,10,2,256,3,5,2,0,0
212040,1,1,3,2511,8,10,2,0,0
212094,1,0,2,2512,3,6,0,0,0
212311,1,12,2,51,5,13,0,1,4
212438,1,16,0,2515,2,1,2,0,0
213161,1,17,4,215,10,9,0,0,0
213451,1,1,3,8,5,16,2,0,0
213863,1,10,3,59,3,2,0,0,0
214304,1,7,0,2,2,11,0,0,0
214316,1,13,6,115,3,2,2,0,0
214442,1,19,2,0,3,17,0,0,0
214493,1,38,2,45,3,6,2,0,0
214558,1,22,0,0,3,6,0,0,0
214874,1,9,4,15,4,3,0,1,1
215091,1,17,0,2,2,5,2,0,0
215488,1,11,1,910,2,4,2,0,0
215784,1,0,2,483,5,4,2,1,1
215785,1,2,3,0,0,,1,0,0
215856,1,4,3,0,6,14,0,0,0
215915,1,4,2,2547,7,8,0,1,11
